Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2021/10/19,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,,"17,341",Fiserv Forum,Tuesday
2021/10/19,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,,"18,997",Crypto.com Arena,Tuesday
2021/10/20,7:00p,Indiana Pacers,122,Charlotte Hornets,123,,"15,521",Spectrum Center,Wednesday
2021/10/20,7:00p,Chicago Bulls,94,Detroit Pistons,88,,"20,088",Little Caesars Arena,Wednesday
2021/10/20,7:30p,Boston Celtics,134,New York Knicks,138,2OT,"19,812",Madison Square Garden (IV),Wednesday
2021/10/20,7:30p,Washington Wizards,98,Toronto Raptors,83,,"19,800",Scotiabank Arena,Wednesday
2021/10/20,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,,"15,975",FedEx Forum,Wednesday
2021/10/20,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,,"16,079",Target Center,Wednesday
2021/10/20,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,,"12,845",Smoothie King Center,Wednesday
2021/10/20,8:30p,Orlando Magic,97,San Antonio Spurs,123,,"16,697",AT&T Center,Wednesday
2021/10/20,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,,"18,306",Vivint Smart Home Arena,Wednesday
2021/10/20,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,,"17,467",Moda Center,Wednesday
2021/10/20,10:00p,Denver Nuggets,110,Phoenix Suns,98,,"16,074",Phoenix Suns Arena,Wednesday
2021/10/21,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,,"17,162",State Farm Arena,Thursday
2021/10/21,8:00p,Milwaukee Bucks,95,Miami Heat,137,,"19,600",FTX Arena,Thursday
2021/10/21,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,,"18,064",Chase Center,Thursday
2021/10/22,7:00p,New York Knicks,121,Orlando Magic,96,,"18,846",Amway Center,Friday
2021/10/22,7:00p,Indiana Pacers,134,Washington Wizards,135,OT,"15,407",Capital One Arena,Friday
2021/10/22,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,,"17,116",Rocket Mortgage Fieldhouse,Friday
2021/10/22,7:30p,Toronto Raptors,115,Boston Celtics,83,,"19,156",TD Garden,Friday
2021/10/22,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,,"20,367",Wells Fargo Center,Friday
2021/10/22,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,,"15,674",Toyota Center,Friday
2021/10/22,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,,"20,995",United Center,Friday
2021/10/22,9:00p,San Antonio Spurs,96,Denver Nuggets,102,,"19,520",Ball Arena,Friday
2021/10/22,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,,"18,997",Crypto.com Arena,Friday
2021/10/22,10:00p,Utah Jazz,110,Sacramento Kings,101,,"17,583",Golden 1 Center,Friday
2021/10/23,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,,"16,846",Rocket Mortgage Fieldhouse,Saturday
2021/10/23,7:00p,Miami Heat,91,Indiana Pacers,102,OT,"17,147",Gainbridge Fieldhouse,Saturday
2021/10/23,7:30p,Dallas Mavericks,103,Toronto Raptors,95,,"19,800",Scotiabank Arena,Saturday
2021/10/23,8:00p,Detroit Pistons,82,Chicago Bulls,97,,"18,888",United Center,Saturday
2021/10/23,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,,"15,343",Target Center,Saturday
2021/10/23,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,,"14,353",AT&T Center,Saturday
2021/10/23,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,,"18,558",Moda Center,Saturday
2021/10/23,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,,"16,748",Crypto.com Arena,Saturday
2021/10/24,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,,"17,732",Barclays Center,Sunday
2021/10/24,7:00p,Boston Celtics,107,Houston Rockets,97,,"16,069",Toyota Center,Sunday
2021/10/24,7:00p,Orlando Magic,110,New York Knicks,104,,"16,273",Madison Square Garden (IV),Sunday
2021/10/24,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,,"14,256",Paycom Center,Sunday
2021/10/24,9:00p,Golden State Warriors,119,Sacramento Kings,107,,"13,876",Golden 1 Center,Sunday
2021/10/24,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,,"18,997",Crypto.com Arena,Sunday
2021/10/25,7:00p,Boston Celtics,140,Charlotte Hornets,129,OT,"17,238",Spectrum Center,Monday
2021/10/25,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,,"10,339",Gainbridge Fieldhouse,Monday
2021/10/25,7:30p,Chicago Bulls,111,Toronto Raptors,108,,"19,800",Scotiabank Arena,Monday
2021/10/25,7:30p,Orlando Magic,90,Miami Heat,107,,"19,600",FTX Arena,Monday
2021/10/25,7:30p,Washington Wizards,90,Brooklyn Nets,104,,"14,487",Barclays Center,Monday
2021/10/25,7:30p,Detroit Pistons,104,Atlanta Hawks,122,,"14,209",State Farm Arena,Monday
2021/10/25,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,,"14,435",Target Center,Monday
2021/10/25,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,,"14,221",Ball Arena,Monday
2021/10/25,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,,"15,672",Crypto.com Arena,Monday
2021/10/26,7:30p,Philadelphia 76ers,99,New York Knicks,112,,"15,218",Madison Square Garden (IV),Tuesday
2021/10/26,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,,0,Paycom Center,Tuesday
2021/10/26,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,OT,"18,354",AT&T Center,Tuesday
2021/10/26,8:30p,Houston Rockets,106,Dallas Mavericks,116,,"19,337",American Airlines Center,Tuesday
2021/10/26,10:00p,Denver Nuggets,110,Utah Jazz,122,,"18,306",Vivint Smart Home Arena,Tuesday
2021/10/27,7:00p,Charlotte Hornets,120,Orlando Magic,111,,"14,082",Amway Center,Wednesday
2021/10/27,7:30p,Washington Wizards,116,Boston Celtics,107,,"19,156",TD Garden,Wednesday
2021/10/27,7:30p,Miami Heat,106,Brooklyn Nets,93,,"17,732",Barclays Center,Wednesday
2021/10/27,7:30p,Indiana Pacers,100,Toronto Raptors,118,,"19,800",Scotiabank Arena,Wednesday
2021/10/27,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,,"15,541",Smoothie King Center,Wednesday
2021/10/27,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,,"17,341",Fiserv Forum,Wednesday
2021/10/27,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,,"15,783",Paycom Center,Wednesday
2021/10/27,10:00p,Sacramento Kings,110,Phoenix Suns,107,,"14,678",Phoenix Suns Arena,Wednesday
2021/10/27,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,,"16,241",Moda Center,Wednesday
2021/10/27,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,,"13,276",Crypto.com Arena,Wednesday
2021/10/28,7:00p,Atlanta Hawks,111,Washington Wizards,122,,"13,653",Capital One Arena,Thursday
2021/10/28,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,,"20,017",Wells Fargo Center,Thursday
2021/10/28,8:00p,Utah Jazz,122,Houston Rockets,91,,"15,858",Toyota Center,Thursday
2021/10/28,8:00p,New York Knicks,104,Chicago Bulls,103,,"20,972",United Center,Thursday
2021/10/28,8:30p,San Antonio Spurs,99,Dallas Mavericks,104,,"19,228",American Airlines Center,Thursday
2021/10/28,10:00p,Memphis Grizzlies,104,Golden State Warriors,101,OT,"18,064",Chase Center,Thursday
2021/10/29,7:00p,Orlando Magic,109,Toronto Raptors,110,,"19,800",Scotiabank Arena,Friday
2021/10/29,7:30p,Charlotte Hornets,99,Miami Heat,114,,"19,600",FTX Arena,Friday
2021/10/29,7:30p,Indiana Pacers,98,Brooklyn Nets,105,,"16,139",Barclays Center,Friday
2021/10/29,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,,"17,507",Smoothie King Center,Friday
2021/10/29,10:00p,Dallas Mavericks,75,Denver Nuggets,106,,"18,315",Ball Arena,Friday
2021/10/29,10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,,"16,510",Moda Center,Friday
2021/10/29,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,,"18,997",Crypto.com Arena,Friday
2021/10/30,5:00p,Boston Celtics,112,Washington Wizards,115,2OT,"15,813",Capital One Arena,Saturday
2021/10/30,7:00p,Orlando Magic,103,Detroit Pistons,110,,"11,423",Little Caesars Arena,Saturday
2021/10/30,7:00p,New York Knicks,123,New Orleans Pelicans,117,,"16,508",Smoothie King Center,Saturday
2021/10/30,7:30p,Toronto Raptors,97,Indiana Pacers,94,,"10,578",Gainbridge Fieldhouse,Saturday
2021/10/30,7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,,"20,031",Wells Fargo Center,Saturday
2021/10/30,8:00p,Utah Jazz,99,Chicago Bulls,107,,"20,668",United Center,Saturday
2021/10/30,8:00p,Miami Heat,129,Memphis Grizzlies,103,,"15,989",FedEx Forum,Saturday
2021/10/30,8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,,"17,341",Fiserv Forum,Saturday
2021/10/30,8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,,"18,064",Chase Center,Saturday
2021/10/30,9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,,"17,136",Target Center,Saturday
