Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2020/12/22,7:00p,Golden State Warriors,99,Brooklyn Nets,125,,0,Barclays Center,Tuesday
2020/12/22,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,,0,STAPLES Center,Tuesday
2020/12/23,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,,300,Rocket Mortgage Fieldhouse,Wednesday
2020/12/23,7:00p,New York Knicks,107,Indiana Pacers,121,,0,Bankers Life Fieldhouse,Wednesday
2020/12/23,7:00p,Miami Heat,107,Orlando Magic,113,,"3,396",Amway Center,Wednesday
2020/12/23,7:00p,Washington Wizards,107,Philadelphia 76ers,113,,0,Wells Fargo Center,Wednesday
2020/12/23,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,,"3,800",Amalie Arena,Wednesday
2020/12/23,7:30p,Milwaukee Bucks,121,Boston Celtics,122,,0,TD Garden,Wednesday
2020/12/23,8:00p,Atlanta Hawks,124,Chicago Bulls,104,,0,United Center,Wednesday
2020/12/23,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,,0,FedEx Forum,Wednesday
2020/12/23,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,,0,Target Center,Wednesday
2020/12/23,9:00p,Sacramento Kings,124,Denver Nuggets,122,OT,0,Ball Arena,Wednesday
2020/12/23,10:00p,Utah Jazz,120,Portland Trail Blazers,100,,0,Moda Center,Wednesday
2020/12/23,10:30p,Dallas Mavericks,102,Phoenix Suns,106,,0,Phoenix Suns Arena,Wednesday
2020/12/25,12:00p,New Orleans Pelicans,98,Miami Heat,111,,0,AmericanAirlines Arena,Friday
2020/12/25,2:30p,Golden State Warriors,99,Milwaukee Bucks,138,,0,Fiserv Forum,Friday
2020/12/25,5:00p,Brooklyn Nets,123,Boston Celtics,95,,0,TD Garden,Friday
2020/12/25,8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,,0,STAPLES Center,Friday
2020/12/25,10:30p,Los Angeles Clippers,121,Denver Nuggets,108,,0,Ball Arena,Friday
2020/12/26,5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,,0,FedEx Forum,Saturday
2020/12/26,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,,0,Spectrum Center,Saturday
2020/12/26,7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,2OT,0,Little Caesars Arena,Saturday
2020/12/26,7:00p,Orlando Magic,130,Washington Wizards,120,,0,Capital One Arena,Saturday
2020/12/26,7:30p,Philadelphia 76ers,109,New York Knicks,89,,0,Madison Square Garden (IV),Saturday
2020/12/26,8:00p,Indiana Pacers,125,Chicago Bulls,106,,0,United Center,Saturday
2020/12/26,8:30p,Toronto Raptors,114,San Antonio Spurs,119,,0,AT&T Center,Saturday
2020/12/26,9:00p,Minnesota Timberwolves,116,Utah Jazz,111,,"1,932",Vivint Smart Home Arena,Saturday
2020/12/26,10:00p,Houston Rockets,126,Portland Trail Blazers,128,OT,0,Moda Center,Saturday
2020/12/26,10:00p,Phoenix Suns,103,Sacramento Kings,106,,0,Golden 1 Center,Saturday
2020/12/27,3:30p,Dallas Mavericks,124,Los Angeles Clippers,73,,0,STAPLES Center,Sunday
2020/12/27,7:00p,San Antonio Spurs,95,New Orleans Pelicans,98,,750,Smoothie King Center,Sunday
2020/12/27,7:00p,Orlando Magic,120,Washington Wizards,113,,0,Capital One Arena,Sunday
2020/12/27,7:00p,Brooklyn Nets,104,Charlotte Hornets,106,,0,Spectrum Center,Sunday
2020/12/27,7:30p,Philadelphia 76ers,94,Cleveland Cavaliers,118,,300,Rocket Mortgage Fieldhouse,Sunday
2020/12/27,7:30p,Milwaukee Bucks,110,New York Knicks,130,,0,Madison Square Garden (IV),Sunday
2020/12/27,8:00p,Boston Celtics,107,Indiana Pacers,108,,0,Bankers Life Fieldhouse,Sunday
2020/12/27,8:00p,Golden State Warriors,129,Chicago Bulls,128,,0,United Center,Sunday
2020/12/27,9:00p,Phoenix Suns,116,Sacramento Kings,100,,0,Golden 1 Center,Sunday
2020/12/27,10:00p,Minnesota Timberwolves,91,Los Angeles Lakers,127,,0,STAPLES Center,Sunday
2020/12/28,7:30p,Memphis Grizzlies,116,Brooklyn Nets,111,OT,0,Barclays Center,Monday
2020/12/28,7:30p,Detroit Pistons,120,Atlanta Hawks,128,,0,State Farm Arena,Monday
2020/12/28,8:00p,Utah Jazz,110,Oklahoma City Thunder,109,,0,Chesapeake Energy Arena,Monday
2020/12/28,9:00p,Houston Rockets,111,Denver Nuggets,124,,0,Ball Arena,Monday
2020/12/28,10:00p,Portland Trail Blazers,115,Los Angeles Lakers,107,,0,STAPLES Center,Monday
2020/12/29,7:00p,New York Knicks,95,Cleveland Cavaliers,86,,300,Rocket Mortgage Fieldhouse,Tuesday
2020/12/29,7:00p,Golden State Warriors,116,Detroit Pistons,106,,0,Little Caesars Arena,Tuesday
2020/12/29,7:00p,Boston Celtics,116,Indiana Pacers,111,,0,Bankers Life Fieldhouse,Tuesday
2020/12/29,7:00p,Chicago Bulls,115,Washington Wizards,107,,0,Capital One Arena,Tuesday
2020/12/29,7:00p,Toronto Raptors,93,Philadelphia 76ers,100,,0,Wells Fargo Center,Tuesday
2020/12/29,7:30p,Milwaukee Bucks,144,Miami Heat,97,,0,AmericanAirlines Arena,Tuesday
2020/12/29,8:00p,Orlando Magic,118,Oklahoma City Thunder,107,,0,Chesapeake Energy Arena,Tuesday
2020/12/29,10:00p,New Orleans Pelicans,86,Phoenix Suns,111,,0,Phoenix Suns Arena,Tuesday
2020/12/29,10:00p,Denver Nuggets,115,Sacramento Kings,125,,0,Golden 1 Center,Tuesday
2020/12/29,10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,,0,STAPLES Center,Tuesday
2020/12/30,7:30p,Milwaukee Bucks,108,Miami Heat,119,,0,AmericanAirlines Arena,Wednesday
2020/12/30,7:30p,Atlanta Hawks,141,Brooklyn Nets,145,,0,Barclays Center,Wednesday
2020/12/30,7:30p,Memphis Grizzlies,107,Boston Celtics,126,,0,TD Garden,Wednesday
2020/12/30,8:30p,Charlotte Hornets,118,Dallas Mavericks,99,,0,American Airlines Center,Wednesday
2020/12/30,8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,,0,AT&T Center,Wednesday
2020/12/30,10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,,0,STAPLES Center,Wednesday
2020/12/31,3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,,0,Bankers Life Fieldhouse,Thursday
2020/12/31,5:00p,Chicago Bulls,133,Washington Wizards,130,,0,Capital One Arena,Thursday
2020/12/31,6:30p,Philadelphia 76ers,116,Orlando Magic,92,,"3,247",Amway Center,Thursday
2020/12/31,7:00p,Sacramento Kings,119,Houston Rockets,122,,"3,247",Toyota Center,Thursday
2020/12/31,7:30p,New York Knicks,83,Toronto Raptors,100,,"3,449",Amalie Arena,Thursday
2020/12/31,8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,,0,Chesapeake Energy Arena,Thursday
2020/12/31,9:00p,Phoenix Suns,106,Utah Jazz,95,,"1,932",Vivint Smart Home Arena,Thursday
2021/01/01,7:00p,Memphis Grizzlies,108,Charlotte Hornets,93,,0,Spectrum Center,Friday
2021/01/01,7:00p,Miami Heat,83,Dallas Mavericks,93,,0,American Airlines Center,Friday
2021/01/01,7:00p,Boston Celtics,93,Detroit Pistons,96,,0,Little Caesars Arena,Friday
