Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2014/10/28,8:00p,Orlando Magic,84.0,New Orleans Pelicans,101.0,,"17,097",Smoothie King Center,Tuesday
2014/10/28,8:00p,Dallas Mavericks,100.0,San Antonio Spurs,101.0,,"19,615",AT&T Center,Tuesday
2014/10/28,10:30p,Houston Rockets,108.0,Los Angeles Lakers,90.0,,"18,997",STAPLES Center,Tuesday
2014/10/29,7:00p,Milwaukee Bucks,106.0,Charlotte Hornets,108.0,OT,"19,439",Time Warner Cable Arena,Wednesday
2014/10/29,7:00p,Philadelphia 76ers,91.0,Indiana Pacers,103.0,,"18,165",Bankers Life Fieldhouse,Wednesday
2014/10/29,7:30p,Atlanta Hawks,102.0,Toronto Raptors,109.0,,"19,800",Air Canada Centre,Wednesday
2014/10/29,7:30p,Washington Wizards,95.0,Miami Heat,107.0,,"19,744",AmericanAirlines Arena,Wednesday
2014/10/29,7:30p,Brooklyn Nets,105.0,Boston Celtics,121.0,,"18,624",TD Garden,Wednesday
2014/10/29,8:00p,Chicago Bulls,104.0,New York Knicks,80.0,,"19,812",Madison Square Garden (IV),Wednesday
2014/10/29,8:00p,Minnesota Timberwolves,101.0,Memphis Grizzlies,105.0,,"17,731",FedEx Forum,Wednesday
2014/10/29,9:00p,Detroit Pistons,79.0,Denver Nuggets,89.0,,"17,136",Pepsi Center,Wednesday
2014/10/29,9:00p,Houston Rockets,104.0,Utah Jazz,93.0,,"19,911",EnergySolutions Arena,Wednesday
2014/10/29,10:00p,Los Angeles Lakers,99.0,Phoenix Suns,119.0,,"17,523",US Airways Center,Wednesday
2014/10/29,10:00p,Golden State Warriors,95.0,Sacramento Kings,77.0,,"17,317",Sleep Train Arena,Wednesday
2014/10/29,10:30p,Oklahoma City Thunder,89.0,Portland Trail Blazers,106.0,,"19,441",Moda Center,Wednesday
2014/10/30,7:00p,Washington Wizards,105.0,Orlando Magic,98.0,,"18,846",Amway Center,Thursday
2014/10/30,8:00p,New York Knicks,95.0,Cleveland Cavaliers,90.0,,"20,562",Quicken Loans Arena,Thursday
2014/10/30,8:00p,Detroit Pistons,91.0,Minnesota Timberwolves,97.0,,"18,296",Target Center,Thursday
2014/10/30,8:30p,Utah Jazz,102.0,Dallas Mavericks,120.0,,"19,697",American Airlines Center,Thursday
2014/10/30,10:30p,Oklahoma City Thunder,90.0,Los Angeles Clippers,93.0,,"19,060",STAPLES Center,Thursday
2014/10/31,7:00p,Memphis Grizzlies,97.0,Indiana Pacers,89.0,,"14,441",Bankers Life Fieldhouse,Friday
2014/10/31,8:00p,Cleveland Cavaliers,114.0,Chicago Bulls,108.0,OT,"22,879",United Center,Friday
2014/10/31,8:30p,Philadelphia 76ers,81.0,Milwaukee Bucks,93.0,,"18,717",BMO Harris Bradley Center,Friday
2014/10/31,10:00p,San Antonio Spurs,89.0,Phoenix Suns,94.0,,"15,050",US Airways Center,Friday
2014/10/31,10:00p,Portland Trail Blazers,94.0,Sacramento Kings,103.0,,"14,648",Sleep Train Arena,Friday
2014/10/31,10:30p,Los Angeles Clippers,118.0,Los Angeles Lakers,111.0,,"18,997",STAPLES Center,Friday
2014/11/01,7:00p,Memphis Grizzlies,71.0,Charlotte Hornets,69.0,,"18,133",Time Warner Cable Arena,Saturday
2014/11/01,7:00p,Dallas Mavericks,109.0,New Orleans Pelicans,104.0,,"14,547",Smoothie King Center,Saturday
2014/11/01,7:00p,Toronto Raptors,108.0,Orlando Magic,95.0,,"16,141",Amway Center,Saturday
2014/11/01,7:00p,Miami Heat,114.0,Philadelphia 76ers,96.0,,"19,753",Wells Fargo Center,Saturday
2014/11/01,7:00p,Milwaukee Bucks,97.0,Washington Wizards,108.0,,"17,992",Verizon Center,Saturday
2014/11/01,7:30p,Indiana Pacers,92.0,Atlanta Hawks,102.0,,"19,118",Philips Arena,Saturday
2014/11/01,7:30p,Brooklyn Nets,102.0,Detroit Pistons,90.0,,"19,904",The Palace of Auburn Hills,Saturday
2014/11/01,8:00p,Boston Celtics,90.0,Houston Rockets,104.0,,"18,309",Toyota Center,Saturday
2014/11/01,8:00p,Chicago Bulls,106.0,Minnesota Timberwolves,105.0,,"19,356",Target Center,Saturday
2014/11/01,8:00p,Denver Nuggets,91.0,Oklahoma City Thunder,102.0,,"18,203",Chesapeake Energy Arena,Saturday
2014/11/01,9:00p,Phoenix Suns,91.0,Utah Jazz,118.0,,"17,721",EnergySolutions Arena,Saturday
2014/11/01,10:30p,Los Angeles Lakers,104.0,Golden State Warriors,127.0,,"19,596",Oracle Arena,Saturday
2014/11/02,3:30p,Sacramento Kings,98.0,Los Angeles Clippers,92.0,,"19,060",STAPLES Center,Sunday
2014/11/02,6:00p,Toronto Raptors,102.0,Miami Heat,107.0,,"19,666",AmericanAirlines Arena,Sunday
2014/11/02,7:30p,Charlotte Hornets,93.0,New York Knicks,96.0,,"19,812",Madison Square Garden (IV),Sunday
2014/11/02,9:00p,Golden State Warriors,95.0,Portland Trail Blazers,90.0,,"19,441",Moda Center,Sunday
2014/11/03,7:00p,Houston Rockets,104.0,Philadelphia 76ers,93.0,,"12,896",Wells Fargo Center,Monday
2014/11/03,7:30p,Oklahoma City Thunder,85.0,Brooklyn Nets,116.0,,"17,732",Barclays Center,Monday
2014/11/03,8:00p,New Orleans Pelicans,81.0,Memphis Grizzlies,93.0,,"15,302",FedEx Forum,Monday
2014/11/03,8:30p,Boston Celtics,113.0,Dallas Mavericks,118.0,,"19,948",American Airlines Center,Monday
2014/11/03,9:00p,Sacramento Kings,110.0,Denver Nuggets,105.0,,"12,516",Pepsi Center,Monday
2014/11/03,10:30p,Utah Jazz,101.0,Los Angeles Clippers,107.0,,"19,060",STAPLES Center,Monday
2014/11/04,7:00p,Milwaukee Bucks,87.0,Indiana Pacers,81.0,,"15,012",Bankers Life Fieldhouse,Tuesday
2014/11/04,7:30p,Houston Rockets,108.0,Miami Heat,91.0,,"19,666",AmericanAirlines Arena,Tuesday
2014/11/04,7:30p,Washington Wizards,98.0,New York Knicks,83.0,,"19,812",Madison Square Garden (IV),Tuesday
2014/11/04,7:30p,Oklahoma City Thunder,88.0,Toronto Raptors,100.0,,"18,877",Air Canada Centre,Tuesday
2014/11/04,8:00p,Orlando Magic,90.0,Chicago Bulls,98.0,,"21,809",United Center,Tuesday
2014/11/04,8:00p,Charlotte Hornets,91.0,New Orleans Pelicans,100.0,,"14,840",Smoothie King Center,Tuesday
2014/11/04,10:00p,Cleveland Cavaliers,82.0,Portland Trail Blazers,101.0,,"19,441",Moda Center,Tuesday
2014/11/04,10:30p,Phoenix Suns,112.0,Los Angeles Lakers,106.0,,"18,997",STAPLES Center,Tuesday
2014/11/05,7:00p,Miami Heat,89.0,Charlotte Hornets,96.0,,"15,874",Time Warner Cable Arena,Wednesday
2014/11/05,7:00p,Orlando Magic,91.0,Philadelphia 76ers,89.0,,"12,111",Wells Fargo Center,Wednesday
2014/11/05,7:30p,Toronto Raptors,110.0,Boston Celtics,107.0,,"16,249",TD Garden,Wednesday
2014/11/05,7:30p,Minnesota Timberwolves,98.0,Brooklyn Nets,91.0,,"16,302",Barclays Center,Wednesday
2014/11/05,7:30p,New York Knicks,95.0,Detroit Pistons,98.0,,"11,915",The Palace of Auburn Hills,Wednesday
2014/11/05,8:00p,Chicago Bulls,95.0,Milwaukee Bucks,86.0,,"13,098",BMO Harris Bradley Center,Wednesday
2014/11/05,8:00p,Indiana Pacers,94.0,Washington Wizards,96.0,OT,"15,268",Verizon Center,Wednesday
2014/11/05,8:30p,Atlanta Hawks,92.0,San Antonio Spurs,94.0,,"18,581",AT&T Center,Wednesday
2014/11/05,9:00p,Memphis Grizzlies,102.0,Phoenix Suns,91.0,,"15,377",US Airways Center,Wednesday
2014/11/05,9:00p,Cleveland Cavaliers,100.0,Utah Jazz,102.0,,"19,911",EnergySolutions Arena,Wednesday
2014/11/05,10:00p,Denver Nuggets,109.0,Sacramento Kings,131.0,,"14,539",Sleep Train Arena,Wednesday
2014/11/05,10:30p,Los Angeles Clippers,104.0,Golden State Warriors,121.0,,"19,596",Oracle Arena,Wednesday
2014/11/06,8:00p,San Antonio Spurs,81.0,Houston Rockets,98.0,,"18,311",Toyota Center,Thursday
2014/11/06,10:30p,Dallas Mavericks,87.0,Portland Trail Blazers,108.0,,"19,441",Moda Center,Thursday
2014/11/07,7:00p,Atlanta Hawks,119.0,Charlotte Hornets,122.0,2OT,"15,891",Time Warner Cable Arena,Friday
2014/11/07,7:00p,Minnesota Timberwolves,103.0,Orlando Magic,112.0,OT,"16,379",Amway Center,Friday
2014/11/07,7:00p,Chicago Bulls,118.0,Philadelphia 76ers,115.0,,"16,820",Wells Fargo Center,Friday
2014/11/07,7:30p,Indiana Pacers,98.0,Boston Celtics,101.0,,"17,122",TD Garden,Friday
2014/11/07,7:30p,New York Knicks,99.0,Brooklyn Nets,110.0,,"17,732",Barclays Center,Friday
2014/11/07,7:30p,Milwaukee Bucks,95.0,Detroit Pistons,98.0,,"16,102",The Palace of Auburn Hills,Friday
2014/11/07,7:30p,Washington Wizards,84.0,Toronto Raptors,103.0,,"19,800",Air Canada Centre,Friday
2014/11/07,8:00p,Memphis Grizzlies,91.0,Oklahoma City Thunder,89.0,,"18,203",Chesapeake Energy Arena,Friday
2014/11/07,9:00p,Sacramento Kings,114.0,Phoenix Suns,112.0,2OT,"15,476",US Airways Center,Friday
2014/11/07,9:00p,Dallas Mavericks,105.0,Utah Jazz,82.0,,"18,419",EnergySolutions Arena,Friday
2014/11/07,10:30p,Cleveland Cavaliers,110.0,Denver Nuggets,101.0,,"19,623",Pepsi Center,Friday
2014/11/08,3:30p,Portland Trail Blazers,102.0,Los Angeles Clippers,106.0,,"19,060",STAPLES Center,Saturday
2014/11/08,7:00p,Washington Wizards,97.0,Indiana Pacers,90.0,,"17,302",Bankers Life Fieldhouse,Saturday
2014/11/08,7:30p,New York Knicks,96.0,Atlanta Hawks,103.0,,"17,521",Philips Arena,Saturday
2014/11/08,7:30p,Minnesota Timberwolves,92.0,Miami Heat,102.0,,"19,735",AmericanAirlines Arena,Saturday
2014/11/08,8:00p,Boston Celtics,106.0,Chicago Bulls,101.0,,"22,104",United Center,Saturday
2014/11/08,8:00p,Golden State Warriors,98.0,Houston Rockets,87.0,,"18,312",Toyota Center,Saturday
2014/11/08,8:30p,Memphis Grizzlies,92.0,Milwaukee Bucks,93.0,,"13,841",BMO Harris Bradley Center,Saturday
2014/11/08,8:30p,New Orleans Pelicans,100.0,San Antonio Spurs,99.0,,"18,581",AT&T Center,Saturday
2014/11/09,3:30p,Orlando Magic,96.0,Brooklyn Nets,104.0,,"16,127",Barclays Center,Sunday
2014/11/09,6:00p,Utah Jazz,97.0,Detroit Pistons,96.0,,"12,888",The Palace of Auburn Hills,Sunday
2014/11/09,7:00p,Sacramento Kings,93.0,Oklahoma City Thunder,101.0,,"18,203",Chesapeake Energy Arena,Sunday
2014/11/09,7:00p,Philadelphia 76ers,88.0,Toronto Raptors,120.0,,"18,470",Air Canada Centre,Sunday
2014/11/09,7:30p,Miami Heat,105.0,Dallas Mavericks,96.0,,"20,195",American Airlines Center,Sunday
