Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2019/10/22,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,OT,"20,787",Scotiabank Arena,Tuesday
2019/10/22,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,,"19,068",STAPLES Center,Tuesday
2019/10/23,7:00p,Chicago Bulls,125,Charlotte Hornets,126,,"15,424",Spectrum Center,Wednesday
2019/10/23,7:00p,Detroit Pistons,119,Indiana Pacers,110,,"17,923",Bankers Life Fieldhouse,Wednesday
2019/10/23,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,,"18,846",Amway Center,Wednesday
2019/10/23,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,OT,"17,732",Barclays Center,Wednesday
2019/10/23,7:30p,Memphis Grizzlies,101,Miami Heat,120,,"19,600",AmericanAirlines Arena,Wednesday
2019/10/23,7:30p,Boston Celtics,93,Philadelphia 76ers,107,,"20,422",Wells Fargo Center,Wednesday
2019/10/23,8:30p,Washington Wizards,100,Dallas Mavericks,108,,"19,816",American Airlines Center,Wednesday
2019/10/23,8:30p,New York Knicks,111,San Antonio Spurs,120,,"18,354",AT&T Center,Wednesday
2019/10/23,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,,"18,306",Vivint Smart Home Arena,Wednesday
2019/10/23,10:00p,Sacramento Kings,95,Phoenix Suns,124,,"18,055",Talking Stick Resort Arena,Wednesday
2019/10/23,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,,"19,991",Moda Center,Wednesday
2019/10/24,7:00p,Atlanta Hawks,117,Detroit Pistons,100,,"20,338",Little Caesars Arena,Thursday
2019/10/24,8:00p,Milwaukee Bucks,117,Houston Rockets,111,,"18,055",Toyota Center,Thursday
2019/10/24,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,,"18,064",Chase Center,Thursday
2019/10/25,7:00p,Toronto Raptors,106,Boston Celtics,112,,"18,624",TD Garden,Friday
2019/10/25,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,,"14,879",Spectrum Center,Friday
2019/10/25,7:30p,New York Knicks,109,Brooklyn Nets,113,,"17,732",Barclays Center,Friday
2019/10/25,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,,"17,794",FedEx Forum,Friday
2019/10/25,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,,"17,027",Smoothie King Center,Friday
2019/10/25,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,,"18,203",Chesapeake Energy Arena,Friday
2019/10/25,9:00p,Phoenix Suns,107,Denver Nuggets,108,OT,"19,557",Pepsi Center,Friday
2019/10/25,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,,"17,583",Golden 1 Center,Friday
2019/10/25,10:30p,Utah Jazz,86,Los Angeles Lakers,95,,"18,997",STAPLES Center,Friday
2019/10/26,5:00p,Miami Heat,131,Milwaukee Bucks,126,OT,"17,467",Fiserv Forum,Saturday
2019/10/26,7:00p,Philadelphia 76ers,117,Detroit Pistons,111,,"16,207",Little Caesars Arena,Saturday
2019/10/26,7:30p,Orlando Magic,99,Atlanta Hawks,103,,"17,078",State Farm Arena,Saturday
2019/10/26,7:30p,Boston Celtics,118,New York Knicks,95,,"19,812",Madison Square Garden (IV),Saturday
2019/10/26,8:00p,Toronto Raptors,108,Chicago Bulls,84,,"21,498",United Center,Saturday
2019/10/26,8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,,"19,432",Rocket Mortgage Fieldhouse,Saturday
