,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
47,"Mon, Nov 2, 2009",9:00p,Houston Rockets,113,Utah Jazz,96,Box Score,,"19,911",EnergySolutions Arena,
48,"Mon, Nov 2, 2009",10:00p,Memphis Grizzlies,116,Sacramento Kings,127,Box Score,OT,"17,317",Power Balance Pavilion,
49,"Mon, Nov 2, 2009",10:30p,Minnesota Timberwolves,90,Los Angeles Clippers,93,Box Score,,"13,614",STAPLES Center,
50,"Tue, Nov 3, 2009",7:00p,Washington Wizards,90,Cleveland Cavaliers,102,Box Score,,"20,562",Quicken Loans Arena,
51,"Tue, Nov 3, 2009",7:00p,Denver Nuggets,111,Indiana Pacers,93,Box Score,,"10,627",Conseco Fieldhouse,
52,"Tue, Nov 3, 2009",7:00p,Boston Celtics,105,Philadelphia 76ers,74,Box Score,,"11,251",Wachovia Center,
53,"Tue, Nov 3, 2009",7:30p,Orlando Magic,80,Detroit Pistons,85,Box Score,,"15,487",The Palace of Auburn Hills,
54,"Tue, Nov 3, 2009",7:30p,Phoenix Suns,104,Miami Heat,96,Box Score,,"15,105",AmericanAirlines Arena,
55,"Tue, Nov 3, 2009",8:00p,Milwaukee Bucks,81,Chicago Bulls,83,Box Score,,"19,789",United Center,
56,"Tue, Nov 3, 2009",8:00p,Los Angeles Lakers,101,Oklahoma City Thunder,98,Box Score,OT,"18,203",Oklahoma City Arena,
57,"Tue, Nov 3, 2009",8:30p,Utah Jazz,85,Dallas Mavericks,96,Box Score,,"19,725",American Airlines Center,
58,"Tue, Nov 3, 2009",10:00p,Atlanta Hawks,97,Portland Trail Blazers,91,Box Score,,"20,325",Rose Garden Arena,
59,"Wed, Nov 4, 2009",7:00p,Phoenix Suns,100,Orlando Magic,122,Box Score,,"17,461",Amway Arena,
60,"Wed, Nov 4, 2009",7:00p,Detroit Pistons,99,Toronto Raptors,110,Box Score,,"17,915",Air Canada Centre,
61,"Wed, Nov 4, 2009",7:00p,Miami Heat,93,Washington Wizards,89,Box Score,,"17,413",Verizon Center,
62,"Wed, Nov 4, 2009",7:30p,Denver Nuggets,122,New Jersey Nets,94,Box Score,,"15,319",Izod Center,
63,"Wed, Nov 4, 2009",7:30p,Indiana Pacers,101,New York Knicks,89,Box Score,,"19,273",Madison Square Garden (IV),
64,"Wed, Nov 4, 2009",8:00p,Boston Celtics,92,Minnesota Timberwolves,90,Box Score,,"19,133",Target Center,
65,"Wed, Nov 4, 2009",8:30p,Los Angeles Lakers,103,Houston Rockets,102,Box Score,OT,"18,291",Toyota Center,
66,"Wed, Nov 4, 2009",9:30p,Dallas Mavericks,107,New Orleans Hornets,114,Box Score,OT,"13,566",New Orleans Arena,
67,"Wed, Nov 4, 2009",10:00p,Atlanta Hawks,113,Sacramento Kings,105,Box Score,,"11,751",Power Balance Pavilion,
68,"Wed, Nov 4, 2009",10:30p,Memphis Grizzlies,105,Golden State Warriors,113,Box Score,,"17,457",Oracle Arena,
69,"Thu, Nov 5, 2009",8:00p,Chicago Bulls,86,Cleveland Cavaliers,85,Box Score,,"20,562",Quicken Loans Arena,
70,"Thu, Nov 5, 2009",10:30p,San Antonio Spurs,99,Utah Jazz,113,Box Score,,"19,797",EnergySolutions Arena,
71,"Fri, Nov 6, 2009",7:00p,Atlanta Hawks,83,Charlotte Bobcats,103,Box Score,,"15,874",Time Warner Cable Arena,
72,"Fri, Nov 6, 2009",7:00p,Washington Wizards,86,Indiana Pacers,102,Box Score,,"14,556",Conseco Fieldhouse,
73,"Fri, Nov 6, 2009",7:00p,Detroit Pistons,103,Orlando Magic,110,Box Score,,"17,461",Amway Arena,
74,"Fri, Nov 6, 2009",7:00p,New Jersey Nets,94,Philadelphia 76ers,97,Box Score,,"10,054",Wachovia Center,
75,"Fri, Nov 6, 2009",7:30p,Phoenix Suns,110,Boston Celtics,103,Box Score,,"18,624",TD Garden,
76,"Fri, Nov 6, 2009",7:30p,Denver Nuggets,88,Miami Heat,96,Box Score,,"19,600",AmericanAirlines Arena,
77,"Fri, Nov 6, 2009",8:00p,Milwaukee Bucks,87,Minnesota Timberwolves,72,Box Score,,"13,758",Target Center,
78,"Fri, Nov 6, 2009",8:00p,Toronto Raptors,107,New Orleans Hornets,90,Box Score,,"15,010",New Orleans Arena,
79,"Fri, Nov 6, 2009",8:00p,Cleveland Cavaliers,100,New York Knicks,91,Box Score,,"19,763",Madison Square Garden (IV),
80,"Fri, Nov 6, 2009",8:30p,Oklahoma City Thunder,94,Houston Rockets,105,Box Score,,"14,911",Toyota Center,
81,"Fri, Nov 6, 2009",10:30p,Los Angeles Clippers,118,Golden State Warriors,90,Box Score,,"18,788",Oracle Arena,
82,"Fri, Nov 6, 2009",10:30p,Memphis Grizzlies,98,Los Angeles Lakers,114,Box Score,,"18,997",STAPLES Center,
83,"Fri, Nov 6, 2009",10:30p,San Antonio Spurs,84,Portland Trail Blazers,96,Box Score,,"20,498",Rose Garden Arena,
84,"Sat, Nov 7, 2009",7:00p,Denver Nuggets,100,Atlanta Hawks,125,Box Score,,"17,801",Philips Arena,
85,"Sat, Nov 7, 2009",7:30p,Boston Celtics,86,New Jersey Nets,76,Box Score,,"16,119",Izod Center,
86,"Sat, Nov 7, 2009",8:00p,Charlotte Bobcats,90,Chicago Bulls,93,Box Score,,"21,108",United Center,
87,"Sat, Nov 7, 2009",8:30p,Toronto Raptors,101,Dallas Mavericks,129,Box Score,,"19,977",American Airlines Center,
88,"Sat, Nov 7, 2009",8:30p,New York Knicks,87,Milwaukee Bucks,102,Box Score,,"15,486",Bradley Center,
89,"Sat, Nov 7, 2009",9:00p,Sacramento Kings,104,Utah Jazz,99,Box Score,,"18,825",EnergySolutions Arena,
90,"Sat, Nov 7, 2009",10:30p,Memphis Grizzlies,110,Los Angeles Clippers,113,Box Score,,"15,399",STAPLES Center,
91,"Sun, Nov 8, 2009",1:00p,Philadelphia 76ers,81,Detroit Pistons,88,Box Score,,"17,187",The Palace of Auburn Hills,
92,"Sun, Nov 8, 2009",1:00p,Phoenix Suns,102,Washington Wizards,90,Box Score,,"14,143",Verizon Center,
93,"Sun, Nov 8, 2009",7:00p,Orlando Magic,74,Oklahoma City Thunder,102,Box Score,,"18,203",Oklahoma City Arena,
