,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
0,"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,"17,097",Smoothie King Center,
1,"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,"19,615",AT&T Center,
2,"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,"18,997",STAPLES Center,
3,"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,"19,439",Time Warner Cable Arena,
4,"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,"18,165",Bankers Life Fieldhouse,
5,"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,"19,800",Air Canada Centre,
6,"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,"19,744",AmericanAirlines Arena,
7,"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,"18,624",TD Garden,
8,"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,"19,812",Madison Square Garden (IV),
9,"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,"17,731",FedEx Forum,
10,"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,"17,136",Pepsi Center,
11,"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,"19,911",EnergySolutions Arena,
12,"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,"17,523",US Airways Center,
13,"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,"17,317",Sleep Train Arena,
14,"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,"19,441",Moda Center,
15,"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,"18,846",Amway Center,
16,"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,"20,562",Quicken Loans Arena,
17,"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,"18,296",Target Center,
18,"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,"19,697",American Airlines Center,
19,"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,"19,060",STAPLES Center,
20,"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,"14,441",Bankers Life Fieldhouse,
21,"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,"22,879",United Center,
22,"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,"18,717",BMO Harris Bradley Center,
