Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2017/10/17,8:01p,Boston Celtics,99.0,Cleveland Cavaliers,102.0,,"20,562",Quicken Loans Arena,Tuesday
2017/10/17,10:30p,Houston Rockets,122.0,Golden State Warriors,121.0,,"19,596",Oracle Arena,Tuesday
2017/10/18,7:00p,Charlotte Hornets,90.0,Detroit Pistons,102.0,,"20,491",Little Caesars Arena,Wednesday
2017/10/18,7:00p,Brooklyn Nets,131.0,Indiana Pacers,140.0,,"15,008",Bankers Life Fieldhouse,Wednesday
2017/10/18,7:00p,Miami Heat,109.0,Orlando Magic,116.0,,"18,846",Amway Center,Wednesday
2017/10/18,7:00p,Philadelphia 76ers,115.0,Washington Wizards,120.0,,"20,356",Capital One Arena,Wednesday
2017/10/18,7:30p,Milwaukee Bucks,108.0,Boston Celtics,100.0,,"18,624",TD Garden,Wednesday
2017/10/18,8:00p,New Orleans Pelicans,91.0,Memphis Grizzlies,103.0,,"17,794",FedEx Forum,Wednesday
2017/10/18,8:30p,Atlanta Hawks,117.0,Dallas Mavericks,111.0,,"19,709",American Airlines Center,Wednesday
2017/10/18,9:00p,Denver Nuggets,96.0,Utah Jazz,106.0,,"17,588",Vivint Smart Home Arena,Wednesday
2017/10/18,9:30p,Minnesota Timberwolves,99.0,San Antonio Spurs,107.0,,"18,418",AT&T Center,Wednesday
2017/10/18,10:00p,Portland Trail Blazers,124.0,Phoenix Suns,76.0,,"18,055",Talking Stick Resort Arena,Wednesday
2017/10/18,10:00p,Houston Rockets,105.0,Sacramento Kings,100.0,,"17,583",Golden 1 Center,Wednesday
2017/10/19,7:30p,Chicago Bulls,100.0,Toronto Raptors,117.0,,"19,800",Air Canada Centre,Thursday
2017/10/19,8:00p,New York Knicks,84.0,Oklahoma City Thunder,105.0,,"18,203",Chesapeake Energy Arena,Thursday
2017/10/19,10:30p,Los Angeles Clippers,108.0,Los Angeles Lakers,92.0,,"18,997",STAPLES Center,Thursday
2017/10/20,7:00p,Atlanta Hawks,91.0,Charlotte Hornets,109.0,,"18,417",Spectrum Center,Friday
2017/10/20,7:00p,Portland Trail Blazers,114.0,Indiana Pacers,96.0,,"15,325",Bankers Life Fieldhouse,Friday
2017/10/20,7:00p,Cleveland Cavaliers,116.0,Milwaukee Bucks,97.0,,"18,717",BMO Harris Bradley Center,Friday
