,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
47,"Fri, Dec 30, 2011",9:00p,Philadelphia 76ers,99,Utah Jazz,102,Box Score,,"19,911",EnergySolutions Arena,
48,"Fri, Dec 30, 2011",10:30p,Chicago Bulls,114,Los Angeles Clippers,101,Box Score,,"19,426",STAPLES Center,
49,"Sat, Dec 31, 2011",3:30p,Denver Nuggets,89,Los Angeles Lakers,92,Box Score,,"18,997",STAPLES Center,
50,"Sat, Dec 31, 2011",6:00p,Indiana Pacers,88,Detroit Pistons,96,Box Score,,"8,824",The Palace of Auburn Hills,
51,"Sat, Dec 31, 2011",7:00p,Atlanta Hawks,84,Houston Rockets,95,Box Score,,"14,390",Toyota Center,
52,"Sat, Dec 31, 2011",8:00p,Phoenix Suns,97,Oklahoma City Thunder,107,Box Score,,"18,203",Chesapeake Energy Arena,
53,"Sat, Dec 31, 2011",8:00p,New York Knicks,114,Sacramento Kings,92,Box Score,,"16,175",Power Balance Pavilion,
54,"Sat, Dec 31, 2011",8:30p,Utah Jazz,89,San Antonio Spurs,104,Box Score,,"17,769",AT&T Center,
55,"Sat, Dec 31, 2011",9:00p,Philadelphia 76ers,107,Golden State Warriors,79,Box Score,,"19,084",Oracle Arena,
56,"Sun, Jan 1, 2012",6:00p,New Jersey Nets,82,Cleveland Cavaliers,98,Box Score,,"15,084",Quicken Loans Arena,
57,"Sun, Jan 1, 2012",6:00p,Charlotte Bobcats,90,Miami Heat,129,Box Score,,"20,016",AmericanAirlines Arena,
58,"Sun, Jan 1, 2012",6:00p,Toronto Raptors,96,Orlando Magic,102,Box Score,,"18,846",Amway Center,
59,"Sun, Jan 1, 2012",6:00p,Boston Celtics,94,Washington Wizards,86,Box Score,,"17,458",Verizon Center,
60,"Sun, Jan 1, 2012",7:00p,Dallas Mavericks,82,Minnesota Timberwolves,99,Box Score,,"15,115",Target Center,
61,"Sun, Jan 1, 2012",8:00p,Memphis Grizzlies,64,Chicago Bulls,104,Box Score,,"22,763",United Center,
62,"Sun, Jan 1, 2012",8:00p,Los Angeles Lakers,90,Denver Nuggets,99,Box Score,,"19,155",Pepsi Center,
63,"Sun, Jan 1, 2012",9:00p,New Orleans Hornets,80,Sacramento Kings,96,Box Score,,"13,628",Power Balance Pavilion,
64,"Sun, Jan 1, 2012",9:30p,Portland Trail Blazers,88,Los Angeles Clippers,93,Box Score,,"19,060",STAPLES Center,
65,"Mon, Jan 2, 2012",3:30p,Golden State Warriors,91,Phoenix Suns,102,Box Score,,"14,793",US Airways Center,
66,"Mon, Jan 2, 2012",7:30p,Washington Wizards,92,Boston Celtics,100,Box Score,,"18,624",TD Garden,
67,"Mon, Jan 2, 2012",7:30p,Orlando Magic,78,Detroit Pistons,89,Box Score,,"8,120",The Palace of Auburn Hills,
68,"Mon, Jan 2, 2012",7:30p,Atlanta Hawks,100,Miami Heat,92,Box Score,,"20,078",AmericanAirlines Arena,
69,"Mon, Jan 2, 2012",7:30p,Indiana Pacers,108,New Jersey Nets,94,Box Score,,"12,519",Prudential Center,
70,"Mon, Jan 2, 2012",7:30p,Toronto Raptors,90,New York Knicks,85,Box Score,,"19,763",Madison Square Garden (IV),
71,"Mon, Jan 2, 2012",8:00p,San Antonio Spurs,96,Minnesota Timberwolves,106,Box Score,,"14,514",Target Center,
72,"Mon, Jan 2, 2012",8:30p,Oklahoma City Thunder,87,Dallas Mavericks,100,Box Score,,"20,108",American Airlines Center,
73,"Mon, Jan 2, 2012",9:00p,Milwaukee Bucks,86,Denver Nuggets,91,Box Score,,"14,142",Pepsi Center,
74,"Mon, Jan 2, 2012",9:00p,New Orleans Hornets,90,Utah Jazz,94,Box Score,,"19,159",EnergySolutions Arena,
75,"Tue, Jan 3, 2012",7:00p,Charlotte Bobcats,101,Cleveland Cavaliers,115,Box Score,,"14,173",Quicken Loans Arena,
76,"Tue, Jan 3, 2012",8:00p,Atlanta Hawks,74,Chicago Bulls,76,Box Score,,"22,166",United Center,
77,"Tue, Jan 3, 2012",8:00p,Sacramento Kings,96,Memphis Grizzlies,113,Box Score,,"12,391",FedEx Forum,
78,"Tue, Jan 3, 2012",8:00p,Portland Trail Blazers,103,Oklahoma City Thunder,93,Box Score,,"18,203",Chesapeake Energy Arena,
79,"Tue, Jan 3, 2012",9:00p,Milwaukee Bucks,73,Utah Jazz,85,Box Score,,"17,756",EnergySolutions Arena,
80,"Tue, Jan 3, 2012",10:30p,Houston Rockets,99,Los Angeles Lakers,108,Box Score,,"18,997",STAPLES Center,
81,"Wed, Jan 4, 2012",7:00p,Washington Wizards,85,Orlando Magic,103,Box Score,,"18,846",Amway Center,
82,"Wed, Jan 4, 2012",7:00p,Cleveland Cavaliers,77,Toronto Raptors,92,Box Score,,"14,468",Air Canada Centre,
83,"Wed, Jan 4, 2012",7:30p,New Jersey Nets,70,Boston Celtics,89,Box Score,,"18,624",TD Garden,
84,"Wed, Jan 4, 2012",7:30p,Chicago Bulls,99,Detroit Pistons,83,Box Score,,"9,125",The Palace of Auburn Hills,
85,"Wed, Jan 4, 2012",7:30p,Indiana Pacers,83,Miami Heat,118,Box Score,,"20,201",AmericanAirlines Arena,
86,"Wed, Jan 4, 2012",7:30p,Charlotte Bobcats,118,New York Knicks,110,Box Score,,"19,763",Madison Square Garden (IV),
87,"Wed, Jan 4, 2012",8:00p,Memphis Grizzlies,90,Minnesota Timberwolves,86,Box Score,,"17,404",Target Center,
88,"Wed, Jan 4, 2012",8:00p,Philadelphia 76ers,101,New Orleans Hornets,93,Box Score,,"12,387",New Orleans Arena,
89,"Wed, Jan 4, 2012",8:30p,Phoenix Suns,89,Dallas Mavericks,98,Box Score,,"19,885",American Airlines Center,
90,"Wed, Jan 4, 2012",8:30p,Golden State Warriors,95,San Antonio Spurs,101,Box Score,,"16,751",AT&T Center,
91,"Wed, Jan 4, 2012",9:00p,Sacramento Kings,83,Denver Nuggets,110,Box Score,,"14,562",Pepsi Center,
92,"Wed, Jan 4, 2012",10:30p,Houston Rockets,89,Los Angeles Clippers,117,Box Score,,"19,060",STAPLES Center,
93,"Thu, Jan 5, 2012",8:00p,Miami Heat,116,Atlanta Hawks,109,Box Score,3OT,"18,371",Philips Arena,
94,"Thu, Jan 5, 2012",8:30p,Dallas Mavericks,71,San Antonio Spurs,93,Box Score,,"18,581",AT&T Center,
95,"Thu, Jan 5, 2012",10:00p,Milwaukee Bucks,100,Sacramento Kings,103,Box Score,,"11,813",Power Balance Pavilion,
