Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2013/10/29,7:00p,Orlando Magic,87.0,Indiana Pacers,97.0,,"18,165",Bankers Life Fieldhouse,Tuesday
2013/10/29,8:00p,Chicago Bulls,95.0,Miami Heat,107.0,,"19,964",AmericanAirlines Arena,Tuesday
2013/10/29,10:30p,Los Angeles Clippers,103.0,Los Angeles Lakers,116.0,,"18,997",STAPLES Center,Tuesday
2013/10/30,7:00p,Brooklyn Nets,94.0,Cleveland Cavaliers,98.0,,"20,562",Quicken Loans Arena,Wednesday
2013/10/30,7:00p,Boston Celtics,87.0,Toronto Raptors,93.0,,"20,155",Air Canada Centre,Wednesday
2013/10/30,7:00p,Miami Heat,110.0,Philadelphia 76ers,114.0,,"19,523",Wells Fargo Center,Wednesday
2013/10/30,7:30p,Washington Wizards,102.0,Detroit Pistons,113.0,,"19,258",The Palace of Auburn Hills,Wednesday
2013/10/30,7:30p,Milwaukee Bucks,83.0,New York Knicks,90.0,,"19,812",Madison Square Garden (IV),Wednesday
2013/10/30,8:00p,Indiana Pacers,95.0,New Orleans Pelicans,90.0,,"17,803",Smoothie King Center,Wednesday
2013/10/30,8:00p,Orlando Magic,115.0,Minnesota Timberwolves,120.0,OT,"17,988",Target Center,Wednesday
2013/10/30,8:00p,Charlotte Bobcats,83.0,Houston Rockets,96.0,,"18,083",Toyota Center,Wednesday
2013/10/30,8:30p,Memphis Grizzlies,94.0,San Antonio Spurs,101.0,,"18,581",AT&T Center,Wednesday
2013/10/30,8:30p,Atlanta Hawks,109.0,Dallas Mavericks,118.0,,"19,834",American Airlines Center,Wednesday
2013/10/30,9:00p,Oklahoma City Thunder,101.0,Utah Jazz,98.0,,"19,911",EnergySolutions Arena,Wednesday
2013/10/30,10:00p,Portland Trail Blazers,91.0,Phoenix Suns,104.0,,"17,208",US Airways Center,Wednesday
2013/10/30,10:00p,Denver Nuggets,88.0,Sacramento Kings,90.0,,"17,317",Sleep Train Arena,Wednesday
2013/10/30,10:30p,Los Angeles Lakers,94.0,Golden State Warriors,125.0,,"19,596",Oracle Arena,Wednesday
2013/10/31,8:00p,New York Knicks,81.0,Chicago Bulls,82.0,,"22,022",United Center,Thursday
2013/10/31,10:30p,Golden State Warriors,115.0,Los Angeles Clippers,126.0,,"19,060",STAPLES Center,Thursday
2013/11/01,7:00p,Cleveland Cavaliers,84.0,Charlotte Bobcats,90.0,,"18,017",Time Warner Cable Arena,Friday
2013/11/01,7:00p,New Orleans Pelicans,90.0,Orlando Magic,110.0,,"18,846",Amway Center,Friday
2013/11/01,7:00p,Philadelphia 76ers,109.0,Washington Wizards,102.0,,"17,160",Verizon Center,Friday
2013/11/01,7:30p,Toronto Raptors,95.0,Atlanta Hawks,102.0,,"18,118",Philips Arena,Friday
2013/11/01,7:30p,Milwaukee Bucks,105.0,Boston Celtics,98.0,,"18,624",TD Garden,Friday
2013/11/01,8:00p,Miami Heat,100.0,Brooklyn Nets,101.0,,"17,732",Barclays Center,Friday
2013/11/01,8:00p,Dallas Mavericks,105.0,Houston Rockets,113.0,,"18,142",Toyota Center,Friday
2013/11/01,8:00p,Detroit Pistons,108.0,Memphis Grizzlies,111.0,OT,"18,119",FedEx Forum,Friday
2013/11/01,8:00p,Oklahoma City Thunder,81.0,Minnesota Timberwolves,100.0,,"17,433",Target Center,Friday
2013/11/01,9:00p,Portland Trail Blazers,113.0,Denver Nuggets,98.0,,"19,155",Pepsi Center,Friday
2013/11/01,10:00p,Utah Jazz,84.0,Phoenix Suns,87.0,,"14,662",US Airways Center,Friday
2013/11/01,10:00p,Los Angeles Clippers,110.0,Sacramento Kings,101.0,,"17,317",Sleep Train Arena,Friday
2013/11/01,10:30p,San Antonio Spurs,91.0,Los Angeles Lakers,85.0,,"18,997",STAPLES Center,Friday
2013/11/02,7:00p,Cleveland Cavaliers,74.0,Indiana Pacers,89.0,,"16,242",Bankers Life Fieldhouse,Saturday
2013/11/02,7:30p,Chicago Bulls,104.0,Philadelphia 76ers,107.0,,"15,782",Wells Fargo Center,Saturday
2013/11/02,8:00p,Charlotte Bobcats,84.0,New Orleans Pelicans,105.0,,"15,232",Smoothie King Center,Saturday
2013/11/02,8:30p,Memphis Grizzlies,99.0,Dallas Mavericks,111.0,,"20,262",American Airlines Center,Saturday
2013/11/02,8:30p,Toronto Raptors,97.0,Milwaukee Bucks,90.0,,"16,046",BMO Harris Bradley Center,Saturday
2013/11/02,9:00p,Houston Rockets,104.0,Utah Jazz,93.0,,"19,498",EnergySolutions Arena,Saturday
2013/11/02,10:00p,San Antonio Spurs,105.0,Portland Trail Blazers,115.0,,"20,028",Moda Center,Saturday
2013/11/02,10:30p,Sacramento Kings,87.0,Golden State Warriors,98.0,,"19,596",Oracle Arena,Saturday
2013/11/03,6:00p,Boston Celtics,77.0,Detroit Pistons,87.0,,"14,978",The Palace of Auburn Hills,Sunday
2013/11/03,6:00p,Washington Wizards,93.0,Miami Heat,103.0,,"19,600",AmericanAirlines Arena,Sunday
2013/11/03,6:00p,Brooklyn Nets,86.0,Orlando Magic,107.0,,"15,297",Amway Center,Sunday
2013/11/03,7:00p,Phoenix Suns,96.0,Oklahoma City Thunder,103.0,,"18,203",Chesapeake Energy Arena,Sunday
2013/11/03,7:30p,Minnesota Timberwolves,109.0,New York Knicks,100.0,,"19,812",Madison Square Garden (IV),Sunday
2013/11/03,9:30p,Atlanta Hawks,103.0,Los Angeles Lakers,105.0,,"18,997",STAPLES Center,Sunday
2013/11/04,7:00p,Minnesota Timberwolves,92.0,Cleveland Cavaliers,93.0,,"17,892",Quicken Loans Arena,Monday
2013/11/04,7:00p,Golden State Warriors,110.0,Philadelphia 76ers,90.0,,"11,089",Wells Fargo Center,Monday
2013/11/04,8:00p,Boston Celtics,88.0,Memphis Grizzlies,95.0,,"15,872",FedEx Forum,Monday
2013/11/04,10:30p,Houston Rockets,118.0,Los Angeles Clippers,137.0,,"19,404",STAPLES Center,Monday
2013/11/05,7:00p,Miami Heat,104.0,Toronto Raptors,95.0,,"18,470",Air Canada Centre,Tuesday
2013/11/05,7:30p,Utah Jazz,88.0,Brooklyn Nets,104.0,,"17,732",Barclays Center,Tuesday
2013/11/05,7:30p,Indiana Pacers,99.0,Detroit Pistons,91.0,,"13,401",The Palace of Auburn Hills,Tuesday
2013/11/05,7:30p,Charlotte Bobcats,102.0,New York Knicks,97.0,,"19,812",Madison Square Garden (IV),Tuesday
2013/11/05,8:00p,Phoenix Suns,104.0,New Orleans Pelicans,98.0,,"13,404",Smoothie King Center,Tuesday
2013/11/05,8:30p,Los Angeles Lakers,104.0,Dallas Mavericks,123.0,,"19,670",American Airlines Center,Tuesday
2013/11/05,9:00p,San Antonio Spurs,102.0,Denver Nuggets,94.0,,"15,721",Pepsi Center,Tuesday
2013/11/05,10:00p,Houston Rockets,116.0,Portland Trail Blazers,101.0,,"17,491",Moda Center,Tuesday
2013/11/05,10:00p,Atlanta Hawks,105.0,Sacramento Kings,100.0,,"13,506",Sleep Train Arena,Tuesday
2013/11/06,7:00p,Toronto Raptors,90.0,Charlotte Bobcats,92.0,,"11,118",Time Warner Cable Arena,Wednesday
2013/11/06,7:00p,Chicago Bulls,80.0,Indiana Pacers,97.0,,"18,165",Bankers Life Fieldhouse,Wednesday
2013/11/06,7:00p,Los Angeles Clippers,90.0,Orlando Magic,98.0,,"15,807",Amway Center,Wednesday
2013/11/06,7:00p,Washington Wizards,116.0,Philadelphia 76ers,102.0,,"10,117",Wells Fargo Center,Wednesday
2013/11/06,7:30p,Utah Jazz,87.0,Boston Celtics,97.0,,"17,130",TD Garden,Wednesday
2013/11/06,8:00p,New Orleans Pelicans,99.0,Memphis Grizzlies,84.0,,"15,209",FedEx Forum,Wednesday
2013/11/06,8:00p,Cleveland Cavaliers,104.0,Milwaukee Bucks,109.0,,"14,340",BMO Harris Bradley Center,Wednesday
2013/11/06,8:00p,Golden State Warriors,106.0,Minnesota Timberwolves,93.0,,"15,559",Target Center,Wednesday
2013/11/06,8:30p,Phoenix Suns,96.0,San Antonio Spurs,99.0,,"17,870",AT&T Center,Wednesday
2013/11/06,9:30p,Dallas Mavericks,93.0,Oklahoma City Thunder,107.0,,"18,203",Chesapeake Energy Arena,Wednesday
2013/11/07,7:00p,Los Angeles Clippers,97.0,Miami Heat,102.0,,"19,600",AmericanAirlines Arena,Thursday
2013/11/07,9:00p,Atlanta Hawks,107.0,Denver Nuggets,109.0,,"15,404",Pepsi Center,Thursday
2013/11/07,9:30p,Los Angeles Lakers,99.0,Houston Rockets,98.0,,"18,133",Toyota Center,Thursday
2013/11/08,7:00p,New York Knicks,101.0,Charlotte Bobcats,91.0,,"16,465",Time Warner Cable Arena,Friday
2013/11/08,7:00p,Toronto Raptors,84.0,Indiana Pacers,91.0,,"13,316",Bankers Life Fieldhouse,Friday
2013/11/08,7:00p,Boston Celtics,91.0,Orlando Magic,89.0,,"17,555",Amway Center,Friday
2013/11/08,7:00p,Cleveland Cavaliers,79.0,Philadelphia 76ers,94.0,,"15,219",Wells Fargo Center,Friday
2013/11/08,7:00p,Brooklyn Nets,108.0,Washington Wizards,112.0,OT,"17,215",Verizon Center,Friday
