Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2018/10/16,8:00p,Philadelphia 76ers,87.0,Boston Celtics,105.0,,"18,624",TD Garden,Tuesday
2018/10/16,10:30p,Oklahoma City Thunder,100.0,Golden State Warriors,108.0,,"19,596",Oracle Arena,Tuesday
2018/10/17,7:00p,Milwaukee Bucks,113.0,Charlotte Hornets,112.0,,"17,889",Spectrum Center,Wednesday
2018/10/17,7:00p,Brooklyn Nets,100.0,Detroit Pistons,103.0,,"20,332",Little Caesars Arena,Wednesday
2018/10/17,7:00p,Memphis Grizzlies,83.0,Indiana Pacers,111.0,,"17,923",Bankers Life Fieldhouse,Wednesday
2018/10/17,7:00p,Miami Heat,101.0,Orlando Magic,104.0,,"19,191",Amway Center,Wednesday
2018/10/17,7:30p,Atlanta Hawks,107.0,New York Knicks,126.0,,"18,249",Madison Square Garden (IV),Wednesday
2018/10/17,7:30p,Cleveland Cavaliers,104.0,Toronto Raptors,116.0,,"19,915",Scotiabank Arena,Wednesday
2018/10/17,8:00p,New Orleans Pelicans,131.0,Houston Rockets,112.0,,"18,055",Toyota Center,Wednesday
2018/10/17,8:30p,Minnesota Timberwolves,108.0,San Antonio Spurs,112.0,,"18,354",AT&T Center,Wednesday
2018/10/17,10:00p,Utah Jazz,123.0,Sacramento Kings,117.0,,"17,583",Golden 1 Center,Wednesday
2018/10/17,10:30p,Denver Nuggets,107.0,Los Angeles Clippers,98.0,,"19,068",STAPLES Center,Wednesday
2018/10/17,10:30p,Dallas Mavericks,100.0,Phoenix Suns,121.0,,"18,055",Talking Stick Resort Arena,Wednesday
2018/10/18,8:00p,Chicago Bulls,108.0,Philadelphia 76ers,127.0,,"20,302",Wells Fargo Center,Thursday
2018/10/18,8:00p,Miami Heat,113.0,Washington Wizards,112.0,,"20,409",Capital One Arena,Thursday
2018/10/18,10:30p,Los Angeles Lakers,119.0,Portland Trail Blazers,128.0,,"19,996",Moda Center,Thursday
2018/10/19,7:00p,Charlotte Hornets,120.0,Orlando Magic,88.0,,"17,668",Amway Center,Friday
2018/10/19,7:30p,New York Knicks,105.0,Brooklyn Nets,107.0,,"17,732",Barclays Center,Friday
2018/10/19,8:00p,Atlanta Hawks,117.0,Memphis Grizzlies,131.0,,"17,019",FedEx Forum,Friday
2018/10/19,8:00p,Cleveland Cavaliers,123.0,Minnesota Timberwolves,131.0,,"18,978",Target Center,Friday
2018/10/19,8:00p,Sacramento Kings,129.0,New Orleans Pelicans,149.0,,"18,337",Smoothie King Center,Friday
2018/10/19,8:00p,Boston Celtics,101.0,Toronto Raptors,113.0,,"19,800",Scotiabank Arena,Friday
2018/10/19,8:30p,Indiana Pacers,101.0,Milwaukee Bucks,118.0,,"17,341",Fiserv Forum,Friday
2018/10/19,10:30p,Oklahoma City Thunder,92.0,Los Angeles Clippers,108.0,,"14,816",STAPLES Center,Friday
2018/10/19,10:30p,Golden State Warriors,124.0,Utah Jazz,123.0,,"18,306",Vivint Smart Home Arena,Friday
2018/10/20,7:00p,Brooklyn Nets,112.0,Indiana Pacers,132.0,,"17,007",Bankers Life Fieldhouse,Saturday
2018/10/20,7:00p,Toronto Raptors,117.0,Washington Wizards,113.0,,"16,185",Capital One Arena,Saturday
2018/10/20,7:30p,Boston Celtics,103.0,New York Knicks,101.0,,"19,427",Madison Square Garden (IV),Saturday
2018/10/20,7:30p,Orlando Magic,115.0,Philadelphia 76ers,116.0,,"20,300",Wells Fargo Center,Saturday
2018/10/20,8:00p,Detroit Pistons,118.0,Chicago Bulls,116.0,,"21,289",United Center,Saturday
2018/10/20,8:00p,Charlotte Hornets,113.0,Miami Heat,112.0,,"19,600",AmericanAirlines Arena,Saturday
2018/10/20,8:30p,Minnesota Timberwolves,136.0,Dallas Mavericks,140.0,,"20,205",American Airlines Center,Saturday
2018/10/20,9:00p,Phoenix Suns,91.0,Denver Nuggets,119.0,,"19,592",Pepsi Center,Saturday
2018/10/20,10:00p,San Antonio Spurs,108.0,Portland Trail Blazers,121.0,,"19,461",Moda Center,Saturday
2018/10/20,10:30p,Houston Rockets,124.0,Los Angeles Lakers,115.0,,"18,997",STAPLES Center,Saturday
2018/10/21,6:00p,Atlanta Hawks,133.0,Cleveland Cavaliers,111.0,,"19,432",Quicken Loans Arena,Sunday
2018/10/21,7:00p,Sacramento Kings,131.0,Oklahoma City Thunder,120.0,,"18,203",Chesapeake Energy Arena,Sunday
2018/10/21,8:00p,Golden State Warriors,98.0,Denver Nuggets,100.0,,"19,520",Pepsi Center,Sunday
2018/10/21,9:00p,Houston Rockets,112.0,Los Angeles Clippers,115.0,,"16,149",STAPLES Center,Sunday
2018/10/22,7:30p,Orlando Magic,93.0,Boston Celtics,90.0,,"18,624",TD Garden,Monday
2018/10/22,7:30p,Charlotte Hornets,106.0,Toronto Raptors,127.0,,"19,800",Scotiabank Arena,Monday
2018/10/22,8:00p,New York Knicks,113.0,Milwaukee Bucks,124.0,,"16,228",Fiserv Forum,Monday
2018/10/22,8:00p,Indiana Pacers,91.0,Minnesota Timberwolves,101.0,,"10,371",Target Center,Monday
2018/10/22,8:30p,Chicago Bulls,109.0,Dallas Mavericks,115.0,,"19,291",American Airlines Center,Monday
2018/10/22,9:00p,Memphis Grizzlies,92.0,Utah Jazz,84.0,,"18,306",Vivint Smart Home Arena,Monday
2018/10/22,10:00p,Washington Wizards,125.0,Portland Trail Blazers,124.0,OT,"19,187",Moda Center,Monday
2018/10/22,10:30p,Phoenix Suns,103.0,Golden State Warriors,123.0,,"19,596",Oracle Arena,Monday
2018/10/22,10:30p,San Antonio Spurs,143.0,Los Angeles Lakers,142.0,OT,"18,997",STAPLES Center,Monday
2018/10/23,7:00p,Philadelphia 76ers,132.0,Detroit Pistons,133.0,OT,"14,418",Little Caesars Arena,Tuesday
2018/10/23,8:00p,Los Angeles Clippers,109.0,New Orleans Pelicans,116.0,,"14,625",Smoothie King Center,Tuesday
2018/10/23,9:00p,Sacramento Kings,112.0,Denver Nuggets,126.0,,"13,214",Pepsi Center,Tuesday
2018/10/24,7:00p,Dallas Mavericks,104.0,Atlanta Hawks,111.0,,"16,705",State Farm Arena,Wednesday
2018/10/24,7:00p,Brooklyn Nets,102.0,Cleveland Cavaliers,86.0,,"19,432",Quicken Loans Arena,Wednesday
2018/10/24,7:30p,New York Knicks,87.0,Miami Heat,110.0,,"19,600",AmericanAirlines Arena,Wednesday
2018/10/24,7:30p,Minnesota Timberwolves,105.0,Toronto Raptors,112.0,,"19,800",Scotiabank Arena,Wednesday
2018/10/24,8:00p,Charlotte Hornets,110.0,Chicago Bulls,112.0,,"19,170",United Center,Wednesday
2018/10/24,8:00p,Utah Jazz,100.0,Houston Rockets,89.0,,"18,055",Toyota Center,Wednesday
2018/10/24,8:30p,Indiana Pacers,116.0,San Antonio Spurs,96.0,,"18,354",AT&T Center,Wednesday
2018/10/24,9:30p,Philadelphia 76ers,108.0,Milwaukee Bucks,123.0,,"17,341",Fiserv Forum,Wednesday
2018/10/24,10:00p,Los Angeles Lakers,131.0,Phoenix Suns,113.0,,"18,055",Talking Stick Resort Arena,Wednesday
2018/10/24,10:00p,Memphis Grizzlies,92.0,Sacramento Kings,97.0,,"14,198",Golden 1 Center,Wednesday
2018/10/24,10:30p,Washington Wizards,122.0,Golden State Warriors,144.0,,"19,596",Oracle Arena,Wednesday
2018/10/25,7:00p,Cleveland Cavaliers,103.0,Detroit Pistons,110.0,,"15,896",Little Caesars Arena,Thursday
2018/10/25,7:00p,Portland Trail Blazers,128.0,Orlando Magic,114.0,,"15,114",Amway Center,Thursday
2018/10/25,8:00p,Boston Celtics,101.0,Oklahoma City Thunder,95.0,,"18,203",Chesapeake Energy Arena,Thursday
2018/10/25,10:30p,Denver Nuggets,114.0,Los Angeles Lakers,121.0,,"18,997",STAPLES Center,Thursday
2018/10/26,7:00p,Chicago Bulls,106.0,Charlotte Hornets,135.0,,"15,220",Spectrum Center,Friday
2018/10/26,7:30p,Golden State Warriors,128.0,New York Knicks,100.0,,"19,812",Madison Square Garden (IV),Friday
2018/10/26,7:30p,Dallas Mavericks,107.0,Toronto Raptors,116.0,,"19,800",Scotiabank Arena,Friday
2018/10/26,8:00p,Los Angeles Clippers,133.0,Houston Rockets,113.0,,"18,055",Toyota Center,Friday
