Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2016/10/25,7:30p,New York Knicks,88.0,Cleveland Cavaliers,117.0,,"20,562",Quicken Loans Arena,Tuesday
2016/10/25,10:00p,Utah Jazz,104.0,Portland Trail Blazers,113.0,,"19,446",Moda Center,Tuesday
2016/10/25,10:30p,San Antonio Spurs,129.0,Golden State Warriors,100.0,,"19,596",Oracle Arena,Tuesday
2016/10/26,7:00p,Dallas Mavericks,121.0,Indiana Pacers,130.0,OT,"17,923",Bankers Life Fieldhouse,Wednesday
2016/10/26,7:00p,Miami Heat,108.0,Orlando Magic,96.0,,"19,298",Amway Center,Wednesday
2016/10/26,7:30p,Detroit Pistons,91.0,Toronto Raptors,109.0,,"19,800",Air Canada Centre,Wednesday
2016/10/26,7:30p,Brooklyn Nets,117.0,Boston Celtics,122.0,,"18,624",TD Garden,Wednesday
2016/10/26,8:00p,Charlotte Hornets,107.0,Milwaukee Bucks,96.0,,"18,717",BMO Harris Bradley Center,Wednesday
2016/10/26,8:00p,Denver Nuggets,107.0,New Orleans Pelicans,102.0,,"15,869",Smoothie King Center,Wednesday
2016/10/26,8:00p,Minnesota Timberwolves,98.0,Memphis Grizzlies,102.0,,"18,119",FedEx Forum,Wednesday
2016/10/26,8:00p,Oklahoma City Thunder,103.0,Philadelphia 76ers,97.0,,"20,487",Wells Fargo Center,Wednesday
2016/10/26,10:00p,Sacramento Kings,113.0,Phoenix Suns,94.0,,"18,055",Talking Stick Resort Arena,Wednesday
2016/10/26,10:30p,Houston Rockets,114.0,Los Angeles Lakers,120.0,,"18,997",STAPLES Center,Wednesday
2016/10/27,7:30p,Washington Wizards,99.0,Atlanta Hawks,114.0,,"19,049",Philips Arena,Thursday
2016/10/27,8:00p,Boston Celtics,99.0,Chicago Bulls,105.0,,"21,501",United Center,Thursday
2016/10/27,10:30p,Los Angeles Clippers,114.0,Portland Trail Blazers,106.0,,"19,500",Moda Center,Thursday
2016/10/27,10:30p,San Antonio Spurs,102.0,Sacramento Kings,94.0,,"17,608",Golden 1 Center,Thursday
2016/10/28,7:00p,Cleveland Cavaliers,94.0,Toronto Raptors,91.0,,"19,800",Air Canada Centre,Friday
2016/10/28,7:30p,Indiana Pacers,94.0,Brooklyn Nets,103.0,,"17,732",Barclays Center,Friday
2016/10/28,7:30p,Orlando Magic,82.0,Detroit Pistons,108.0,,"19,122",The Palace of Auburn Hills,Friday
2016/10/28,8:00p,Phoenix Suns,110.0,Oklahoma City Thunder,113.0,OT,"18,203",Chesapeake Energy Arena,Friday
