Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2015/10/27,8:00p,Cleveland Cavaliers,95.0,Chicago Bulls,97.0,,"21,957",United Center,Tuesday
2015/10/27,8:00p,Detroit Pistons,106.0,Atlanta Hawks,94.0,,"19,187",Philips Arena,Tuesday
2015/10/27,10:30p,New Orleans Pelicans,95.0,Golden State Warriors,111.0,,"19,596",Oracle Arena,Tuesday
2015/10/28,7:00p,Washington Wizards,88.0,Orlando Magic,87.0,,"18,846",Amway Center,Wednesday
2015/10/28,7:30p,Philadelphia 76ers,95.0,Boston Celtics,112.0,,"18,624",TD Garden,Wednesday
2015/10/28,7:30p,Chicago Bulls,115.0,Brooklyn Nets,100.0,,"17,732",Barclays Center,Wednesday
2015/10/28,7:30p,Utah Jazz,87.0,Detroit Pistons,92.0,,"18,434",The Palace of Auburn Hills,Wednesday
2015/10/28,7:30p,Indiana Pacers,99.0,Toronto Raptors,106.0,,"19,800",Air Canada Centre,Wednesday
2015/10/28,7:30p,Charlotte Hornets,94.0,Miami Heat,104.0,,"19,724",AmericanAirlines Arena,Wednesday
2015/10/28,8:00p,New York Knicks,122.0,Milwaukee Bucks,97.0,,"18,717",BMO Harris Bradley Center,Wednesday
2015/10/28,8:00p,San Antonio Spurs,106.0,Oklahoma City Thunder,112.0,,"18,203",Chesapeake Energy Arena,Wednesday
2015/10/28,8:00p,Cleveland Cavaliers,106.0,Memphis Grizzlies,76.0,,"18,119",FedEx Forum,Wednesday
2015/10/28,8:00p,Denver Nuggets,105.0,Houston Rockets,85.0,,"18,240",Toyota Center,Wednesday
2015/10/28,10:00p,Dallas Mavericks,111.0,Phoenix Suns,95.0,,"18,055",Talking Stick Resort Arena,Wednesday
2015/10/28,10:00p,New Orleans Pelicans,94.0,Portland Trail Blazers,112.0,,"19,393",Moda Center,Wednesday
2015/10/28,10:00p,Los Angeles Clippers,111.0,Sacramento Kings,104.0,,"17,458",Sleep Train Arena,Wednesday
2015/10/28,10:30p,Minnesota Timberwolves,112.0,Los Angeles Lakers,111.0,,"18,997",STAPLES Center,Wednesday
2015/10/29,7:00p,Memphis Grizzlies,112.0,Indiana Pacers,103.0,,"18,165",Bankers Life Fieldhouse,Thursday
2015/10/29,8:00p,Atlanta Hawks,112.0,New York Knicks,101.0,,"19,812",Madison Square Garden (IV),Thursday
2015/10/29,10:30p,Dallas Mavericks,88.0,Los Angeles Clippers,104.0,,"19,218",STAPLES Center,Thursday
2015/10/30,7:00p,Miami Heat,92.0,Cleveland Cavaliers,102.0,,"20,562",Quicken Loans Arena,Friday
2015/10/30,7:00p,Utah Jazz,99.0,Philadelphia 76ers,71.0,,"17,122",Wells Fargo Center,Friday
2015/10/30,7:00p,Oklahoma City Thunder,139.0,Orlando Magic,136.0,2OT,"18,846",Amway Center,Friday
2015/10/30,7:30p,Toronto Raptors,113.0,Boston Celtics,103.0,,"16,898",TD Garden,Friday
2015/10/30,7:30p,Chicago Bulls,94.0,Detroit Pistons,98.0,OT,"16,035",The Palace of Auburn Hills,Friday
2015/10/30,8:00p,Charlotte Hornets,94.0,Atlanta Hawks,97.0,,"17,024",Philips Arena,Friday
2015/10/30,8:00p,Washington Wizards,118.0,Milwaukee Bucks,113.0,,"13,858",BMO Harris Bradley Center,Friday
2015/10/30,8:30p,Brooklyn Nets,75.0,San Antonio Spurs,102.0,,"18,418",AT&T Center,Friday
2015/10/30,9:00p,Minnesota Timberwolves,95.0,Denver Nuggets,78.0,,"17,660",Pepsi Center,Friday
2015/10/30,9:30p,Golden State Warriors,112.0,Houston Rockets,92.0,,"18,142",Toyota Center,Friday
2015/10/30,10:00p,Los Angeles Lakers,114.0,Sacramento Kings,132.0,,"17,391",Sleep Train Arena,Friday
2015/10/30,10:30p,Portland Trail Blazers,92.0,Phoenix Suns,110.0,,"18,055",Talking Stick Resort Arena,Friday
2015/10/31,7:00p,Utah Jazz,97.0,Indiana Pacers,76.0,,"14,412",Bankers Life Fieldhouse,Saturday
2015/10/31,7:00p,New York Knicks,117.0,Washington Wizards,110.0,,"20,356",Verizon Center,Saturday
2015/10/31,7:30p,Golden State Warriors,134.0,New Orleans Pelicans,120.0,,"18,406",Smoothie King Center,Saturday
2015/10/31,8:00p,Brooklyn Nets,91.0,Memphis Grizzlies,101.0,,"16,013",FedEx Forum,Saturday
2015/10/31,10:00p,Phoenix Suns,101.0,Portland Trail Blazers,90.0,,"17,906",Moda Center,Saturday
2015/10/31,10:30p,Sacramento Kings,109.0,Los Angeles Clippers,114.0,,"19,060",STAPLES Center,Saturday
2015/11/01,2:00p,Atlanta Hawks,94.0,Charlotte Hornets,92.0,,"18,691",Time Warner Cable Arena,Sunday
2015/11/01,3:30p,San Antonio Spurs,95.0,Boston Celtics,87.0,,"17,461",TD Garden,Sunday
2015/11/01,6:00p,Houston Rockets,89.0,Miami Heat,109.0,,"19,600",AmericanAirlines Arena,Sunday
2015/11/01,6:00p,Milwaukee Bucks,87.0,Toronto Raptors,106.0,,"19,800",Air Canada Centre,Sunday
2015/11/01,7:00p,Orlando Magic,87.0,Chicago Bulls,92.0,,"21,585",United Center,Sunday
2015/11/01,7:00p,Denver Nuggets,93.0,Oklahoma City Thunder,117.0,,"18,203",Chesapeake Energy Arena,Sunday
2015/11/01,9:30p,Dallas Mavericks,103.0,Los Angeles Lakers,93.0,,"18,997",STAPLES Center,Sunday
2015/11/02,7:00p,Cleveland Cavaliers,107.0,Philadelphia 76ers,100.0,,"18,094",Wells Fargo Center,Monday
2015/11/02,7:30p,Milwaukee Bucks,103.0,Brooklyn Nets,96.0,,"12,576",Barclays Center,Monday
2015/11/02,7:30p,San Antonio Spurs,94.0,New York Knicks,84.0,,"19,812",Madison Square Garden (IV),Monday
2015/11/02,8:00p,Oklahoma City Thunder,105.0,Houston Rockets,110.0,,"17,224",Toyota Center,Monday
2015/11/02,8:00p,Portland Trail Blazers,106.0,Minnesota Timberwolves,101.0,,"18,903",Target Center,Monday
2015/11/02,10:30p,Memphis Grizzlies,69.0,Golden State Warriors,119.0,,"19,596",Oracle Arena,Monday
2015/11/02,10:30p,Phoenix Suns,96.0,Los Angeles Clippers,102.0,,"19,060",STAPLES Center,Monday
2015/11/03,7:00p,Chicago Bulls,105.0,Charlotte Hornets,130.0,,"15,136",Time Warner Cable Arena,Tuesday
2015/11/03,7:30p,Indiana Pacers,94.0,Detroit Pistons,82.0,,"13,325",The Palace of Auburn Hills,Tuesday
2015/11/03,7:30p,Atlanta Hawks,98.0,Miami Heat,92.0,,"19,600",AmericanAirlines Arena,Tuesday
2015/11/03,8:00p,Orlando Magic,103.0,New Orleans Pelicans,94.0,,"16,876",Smoothie King Center,Tuesday
2015/11/03,8:30p,Toronto Raptors,102.0,Dallas Mavericks,91.0,,"20,034",American Airlines Center,Tuesday
2015/11/03,10:00p,Memphis Grizzlies,103.0,Sacramento Kings,89.0,,"17,317",Sleep Train Arena,Tuesday
2015/11/03,10:30p,Denver Nuggets,120.0,Los Angeles Lakers,109.0,,"18,997",STAPLES Center,Tuesday
2015/11/04,7:00p,Boston Celtics,98.0,Indiana Pacers,100.0,,"14,022",Bankers Life Fieldhouse,Wednesday
2015/11/04,7:00p,San Antonio Spurs,99.0,Washington Wizards,102.0,,"17,721",Verizon Center,Wednesday
2015/11/04,8:00p,Brooklyn Nets,87.0,Atlanta Hawks,101.0,,"14,044",Philips Arena,Wednesday
2015/11/04,8:00p,New York Knicks,86.0,Cleveland Cavaliers,96.0,,"20,562",Quicken Loans Arena,Wednesday
2015/11/04,8:00p,Orlando Magic,114.0,Houston Rockets,119.0,OT,"16,735",Toyota Center,Wednesday
2015/11/04,8:00p,Philadelphia 76ers,87.0,Milwaukee Bucks,91.0,,"12,437",BMO Harris Bradley Center,Wednesday
2015/11/04,8:00p,Toronto Raptors,103.0,Oklahoma City Thunder,98.0,,"18,203",Chesapeake Energy Arena,Wednesday
2015/11/04,9:00p,Sacramento Kings,97.0,Phoenix Suns,118.0,,"16,497",Talking Stick Resort Arena,Wednesday
2015/11/04,9:00p,Portland Trail Blazers,108.0,Utah Jazz,92.0,,"19,911",Vivint Smart Home Arena,Wednesday
2015/11/04,10:30p,Los Angeles Clippers,108.0,Golden State Warriors,112.0,,"19,596",Oracle Arena,Wednesday
2015/11/05,8:00p,Oklahoma City Thunder,98.0,Chicago Bulls,104.0,,"21,861",United Center,Thursday
2015/11/05,8:00p,Miami Heat,96.0,Minnesota Timberwolves,84.0,,"11,794",Target Center,Thursday
2015/11/05,8:30p,Charlotte Hornets,108.0,Dallas Mavericks,94.0,,"19,635",American Airlines Center,Thursday
2015/11/05,9:00p,Utah Jazz,96.0,Denver Nuggets,84.0,,"9,906",Pepsi Center,Thursday
2015/11/05,10:30p,Memphis Grizzlies,96.0,Portland Trail Blazers,115.0,,"19,393",Moda Center,Thursday
2015/11/06,7:00p,Toronto Raptors,87.0,Orlando Magic,92.0,,"16,578",Amway Center,Friday
2015/11/06,7:30p,Washington Wizards,98.0,Boston Celtics,118.0,,"18,624",TD Garden,Friday
2015/11/06,7:30p,Los Angeles Lakers,104.0,Brooklyn Nets,98.0,,"17,732",Barclays Center,Friday
2015/11/06,7:30p,Philadelphia 76ers,102.0,Cleveland Cavaliers,108.0,,"20,562",Quicken Loans Arena,Friday
2015/11/06,7:30p,Milwaukee Bucks,99.0,New York Knicks,92.0,,"19,812",Madison Square Garden (IV),Friday
2015/11/06,8:00p,Miami Heat,87.0,Indiana Pacers,90.0,,"16,914",Bankers Life Fieldhouse,Friday
2015/11/06,8:00p,Atlanta Hawks,121.0,New Orleans Pelicans,115.0,,"16,983",Smoothie King Center,Friday
2015/11/06,9:30p,Detroit Pistons,100.0,Phoenix Suns,92.0,,"16,676",Talking Stick Resort Arena,Friday
2015/11/06,10:30p,Denver Nuggets,104.0,Golden State Warriors,119.0,,"19,596",Oracle Arena,Friday
2015/11/06,10:30p,Houston Rockets,116.0,Sacramento Kings,110.0,,"16,983",Sleep Train Arena,Friday
2015/11/07,6:00p,Minnesota Timberwolves,102.0,Chicago Bulls,93.0,OT,"21,988",United Center,Saturday
2015/11/07,7:00p,Orlando Magic,105.0,Philadelphia 76ers,97.0,,"15,207",Wells Fargo Center,Saturday
2015/11/07,7:30p,Washington Wizards,99.0,Atlanta Hawks,114.0,,"18,047",Philips Arena,Saturday
2015/11/07,8:30p,New Orleans Pelicans,98.0,Dallas Mavericks,107.0,,"20,454",American Airlines Center,Saturday
2015/11/07,8:30p,Brooklyn Nets,86.0,Milwaukee Bucks,94.0,,"15,228",BMO Harris Bradley Center,Saturday
