Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2012/10/30,7:00p,Washington Wizards,84.0,Cleveland Cavaliers,94.0,,"20,562",Quicken Loans Arena,Tuesday
2012/10/30,8:00p,Boston Celtics,107.0,Miami Heat,120.0,,"20,296",AmericanAirlines Arena,Tuesday
2012/10/30,10:30p,Dallas Mavericks,99.0,Los Angeles Lakers,91.0,,"18,997",STAPLES Center,Tuesday
2012/10/31,7:00p,Denver Nuggets,75.0,Philadelphia 76ers,84.0,,"19,101",Wells Fargo Center,Wednesday
2012/10/31,7:00p,Indiana Pacers,90.0,Toronto Raptors,88.0,,"19,800",Air Canada Centre,Wednesday
2012/10/31,7:30p,Houston Rockets,105.0,Detroit Pistons,96.0,,"16,646",The Palace of Auburn Hills,Wednesday
2012/10/31,8:00p,Sacramento Kings,87.0,Chicago Bulls,93.0,,"21,313",United Center,Wednesday
2012/10/31,8:00p,San Antonio Spurs,99.0,New Orleans Hornets,95.0,,"15,358",New Orleans Arena,Wednesday
2012/10/31,9:00p,Dallas Mavericks,94.0,Utah Jazz,113.0,,"17,634",EnergySolutions Arena,Wednesday
2012/10/31,10:00p,Golden State Warriors,87.0,Phoenix Suns,85.0,,"15,678",US Airways Center,Wednesday
2012/10/31,10:30p,Memphis Grizzlies,92.0,Los Angeles Clippers,101.0,,"19,060",STAPLES Center,Wednesday
2012/10/31,10:30p,Los Angeles Lakers,106.0,Portland Trail Blazers,116.0,,"20,401",Rose Garden Arena,Wednesday
2012/11/01,9:30p,Oklahoma City Thunder,84.0,San Antonio Spurs,86.0,,"18,581",AT&T Center,Thursday
2012/11/02,7:00p,Indiana Pacers,89.0,Charlotte Bobcats,90.0,,"19,124",Time Warner Cable Arena,Friday
2012/11/02,7:00p,Denver Nuggets,89.0,Orlando Magic,102.0,,"18,846",Amway Center,Friday
2012/11/02,7:30p,Houston Rockets,109.0,Atlanta Hawks,102.0,,"18,238",Philips Arena,Friday
